timestamp,protocol,chain_id,block_number,transaction_hash,user_address,token_in,token_out,amount_in,amount_out,affiliate_fee,volume_usd,affiliate_fee_usd
,relay,,32900176,,,,,,,,1755899580,16102601
,relay,,32900176,,,,,,,,1755899581,16102601
,relay,,32900177,,,,,,,,1755899583,16418894
,relay,,32900177,,,,,,,,1755899583,16418894
,relay,,32900177,,,,,,,,1755899584,16418894
,relay,,32900177,,,,,,,,1755899584,16418894
,relay,,32900177,,,,,,,,1755899584,16418894
,relay,,32900177,,,,,,,,1755899584,16418894
,relay,,32900177,,,,,,,,1755899585,16418894
,relay,,32900177,,,,,,,,1755899585,16418894
,relay,,32900177,,,,,,,,1755899585,16418894
,relay,,32900177,,,,,,,,1755899585,16418894
,relay,,32900177,,,,,,,,1755899586,16418894
,relay,,32900177,,,,,,,,1755899586,16418894
,relay,,32900178,,,,,,,,1755899586,16353911
,relay,,32900178,,,,,,,,1755899587,16353911
,relay,,32900178,,,,,,,,1755899587,16353911
,relay,,32900178,,,,,,,,1755899587,16353911
,relay,,32900178,,,,,,,,1755899587,16353911
,relay,,32900178,,,,,,,,1755899588,16353911
,relay,,32900178,,,,,,,,1755899588,16353911
,relay,,32900178,,,,,,,,1755899588,16353911
,relay,,32900178,,,,,,,,1755899588,16353911
,relay,,32900179,,,,,,,,1755899590,16336156
,relay,,32900179,,,,,,,,1755899591,16336156
,relay,,32900179,,,,,,,,1755899591,16336156
,relay,,32900179,,,,,,,,1755899591,30058902
,relay,,32900179,,,,,,,,1755899591,30058902
,relay,,32900179,,,,,,,,1755899592,30058902
,relay,,32900180,,,,,,,,1755899593,30058358
,relay,,32900180,,,,,,,,1755899593,30058358
,relay,,32900180,,,,,,,,1755899593,30058358
,relay,,32900180,,,,,,,,1755899594,30058358
,relay,,32900180,,,,,,,,1755899594,30058358
,relay,,32900180,,,,,,,,1755899594,30058358
,relay,,32900180,,,,,,,,1755899595,30479044
,relay,,32900180,,,,,,,,1755899596,30479044
,relay,,32900180,,,,,,,,1755899596,30479044
,relay,,32900180,,,,,,,,1755899596,30479044
,relay,,32900180,,,,,,,,1755899596,30479044
,relay,,32900180,,,,,,,,1755899597,30479044
,relay,,32900180,,,,,,,,1755899597,76300000
,relay,,32900180,,,,,,,,1755899597,76300000
,relay,,32900180,,,,,,,,1755899598,76300000
,relay,,32900181,,,,,,,,1755899600,29966896
,relay,,32900181,,,,,,,,1755899600,29966896
,relay,,32900181,,,,,,,,1755899600,29966896
,relay,,32900182,,,,,,,,1755899602,15988576
,relay,,32900182,,,,,,,,1755899603,15988576
,relay,,32900182,,,,,,,,1755899603,15988576
,relay,,32900182,,,,,,,,1755899605,29948900
,relay,,32900182,,,,,,,,1755899605,29948900
,relay,,32900182,,,,,,,,1755899605,29948900
,relay,,32900182,,,,,,,,1755899606,29948900
,relay,,32900182,,,,,,,,1755899606,29948900
,relay,,32900182,,,,,,,,1755899606,29948900
,relay,,32900182,,,,,,,,1755899607,31700000
,relay,,32900182,,,,,,,,1755899607,31700000
,relay,,32900182,,,,,,,,1755899607,31700000
,relay,,32900183,,,,,,,,1755899608,30007965
,relay,,32900183,,,,,,,,1755899609,30007965
,relay,,32900183,,,,,,,,1755899609,30007965
,relay,,32900183,,,,,,,,1755899609,30007965
,relay,,32900183,,,,,,,,1755899609,30007965
,relay,,32900183,,,,,,,,1755899610,30007965
,relay,,32900183,,,,,,,,1755899610,30048647
,relay,,32900183,,,,,,,,1755899610,30048647
,relay,,32900183,,,,,,,,1755899611,30048647
,relay,,32900184,,,,,,,,1755899611,16436194
,relay,,32900184,,,,,,,,1755899612,16436194
,relay,,32900184,,,,,,,,1755899612,16436194
,relay,,32900185,,,,,,,,1755899615,31700000
,relay,,32900185,,,,,,,,1755899616,31700000
,relay,,32900185,,,,,,,,1755899616,31700000
,relay,,32900185,,,,,,,,1755899616,31700000
,relay,,32900185,,,,,,,,1755899616,31700000
,relay,,32900185,,,,,,,,1755899617,31700000
,relay,,32900186,,,,,,,,1755899618,16017416
,relay,,32900186,,,,,,,,1755899618,16017416
,relay,,32900186,,,,,,,,1755899618,16017416
,relay,,32900186,,,,,,,,1755899619,15947321
,relay,,32900186,,,,,,,,1755899619,15947321
,relay,,32900186,,,,,,,,1755899619,15947321
,relay,,32900186,,,,,,,,1755899620,15947321
,relay,,32900186,,,,,,,,1755899620,15947321
,relay,,32900186,,,,,,,,1755899620,15947321
,relay,,32900186,,,,,,,,1755899621,31700000
,relay,,32900186,,,,,,,,1755899622,31700000
,relay,,32900186,,,,,,,,1755899622,31700000
,relay,,32900187,,,,,,,,1755899623,29942683
,relay,,32900187,,,,,,,,1755899623,29942683
,relay,,32900187,,,,,,,,1755899623,29942683
,relay,,32900188,,,,,,,,1755899630,29839847
,relay,,32900188,,,,,,,,1755899630,29839847
,relay,,32900188,,,,,,,,1755899630,29839847
,relay,,32900188,,,,,,,,1755899631,29839847
,relay,,32900189,,,,,,,,1755899633,15929799
,relay,,32900189,,,,,,,,1755899634,15929799
,relay,,32900189,,,,,,,,1755899634,15929799
,relay,,32900189,,,,,,,,1755899634,15929799
,relay,,32900189,,,,,,,,1755899634,15929799
,relay,,32900189,,,,,,,,1755899635,15929799
,relay,,32900191,,,,,,,,1755899637,29807977
,relay,,32900191,,,,,,,,1755899637,29807977
,relay,,32900191,,,,,,,,1755899638,29807977
,relay,,32900191,,,,,,,,1755899638,15807977
,relay,,32900191,,,,,,,,1755899638,15807977
,relay,,32900191,,,,,,,,1755899639,15807977
,relay,,32900191,,,,,,,,1755899639,15807977
,relay,,32900191,,,,,,,,1755899639,15807977
,relay,,32900191,,,,,,,,1755899639,15807977
,relay,,32900192,,,,,,,,1755899644,15929897
,relay,,32900192,,,,,,,,1755899645,15929897
,relay,,32900192,,,,,,,,1755899645,15929897
,relay,,32900192,,,,,,,,1755899645,15929897
,relay,,32900192,,,,,,,,1755899646,15929897
,relay,,32900192,,,,,,,,1755899646,15929897
,relay,,32900192,,,,,,,,1755899647,16534760
,relay,,32900192,,,,,,,,1755899647,16534760
,relay,,32900192,,,,,,,,1755899648,16534760
,relay,,32900194,,,,,,,,1755899653,74800000
,relay,,32900194,,,,,,,,1755899653,74800000
,relay,,32900194,,,,,,,,1755899653,74800000
,relay,,32900194,,,,,,,,1755899653,74800000
,relay,,32900194,,,,,,,,1755899654,74800000
,relay,,32900194,,,,,,,,1755899654,74800000
,relay,,32900194,,,,,,,,1755899654,15885220
,relay,,32900194,,,,,,,,1755899655,15885220
,relay,,32900194,,,,,,,,1755899655,15885220
,relay,,32900194,,,,,,,,1755899655,15885220
,relay,,32900194,,,,,,,,1755899655,15885220
,relay,,32900194,,,,,,,,1755899656,15885220
,relay,,32900195,,,,,,,,1755899656,74800000
,relay,,32900195,,,,,,,,1755899656,74800000
,relay,,32900195,,,,,,,,1755899657,74800000
,relay,,32900195,,,,,,,,1755899657,29659386
,relay,,32900195,,,,,,,,1755899657,29659386
,relay,,32900195,,,,,,,,1755899657,29659386
,relay,,32900195,,,,,,,,1755899658,29659386
,relay,,32900195,,,,,,,,1755899658,29659386
,relay,,32900195,,,,,,,,1755899658,29659386
,relay,,32900197,,,,,,,,1755899659,74800000
,relay,,32900197,,,,,,,,1755899659,74800000
,relay,,32900197,,,,,,,,1755899660,74800000
,relay,,32900197,,,,,,,,1755899660,31000000
,relay,,32900197,,,,,,,,1755899660,31000000
,relay,,32900197,,,,,,,,1755899660,31000000
,relay,,32900197,,,,,,,,1755899661,30600000
,relay,,32900197,,,,,,,,1755899661,30600000
,relay,,32900197,,,,,,,,1755899661,30600000
,relay,,32900198,,,,,,,,1755899662,16393946
,relay,,32900198,,,,,,,,1755899662,16393946
,relay,,32900198,,,,,,,,1755899662,16393946
,relay,,32900198,,,,,,,,1755899663,15720533
,relay,,32900198,,,,,,,,1755899663,15720533
,relay,,32900198,,,,,,,,1755899664,15720533
,relay,,32900199,,,,,,,,1755899664,16161846
,relay,,32900199,,,,,,,,1755899665,16161846
,relay,,32900199,,,,,,,,1755899665,16161846
,relay,,32900199,,,,,,,,1755899665,15846792
,relay,,32900199,,,,,,,,1755899665,15846792
,relay,,32900199,,,,,,,,1755899666,15846792
,relay,,32900201,,,,,,,,1755899670,15254784
,relay,,32900201,,,,,,,,1755899670,15254784
,relay,,32900201,,,,,,,,1755899671,15254784
,relay,,32900201,,,,,,,,1755899671,30600000
,relay,,32900201,,,,,,,,1755899671,30600000
,relay,,32900201,,,,,,,,1755899672,30600000
,relay,,32900202,,,,,,,,1755899675,15533460
,relay,,32900202,,,,,,,,1755899676,15533460
,relay,,32900202,,,,,,,,1755899676,15533460
,relay,,32900202,,,,,,,,1755899676,15533460
,relay,,32900202,,,,,,,,1755899676,15533460
,relay,,32900202,,,,,,,,1755899677,15533460
,relay,,32900203,,,,,,,,1755899677,16144229
,relay,,32900203,,,,,,,,1755899677,16144229
,relay,,32900203,,,,,,,,1755899678,16144229
,relay,,32900203,,,,,,,,1755899678,16144229
,relay,,32900203,,,,,,,,1755899678,16144229
,relay,,32900203,,,,,,,,1755899678,16144229
,relay,,32900204,,,,,,,,1755899679,15401662
,relay,,32900204,,,,,,,,1755899679,15401662
,relay,,32900204,,,,,,,,1755899679,15401662
,relay,,32900204,,,,,,,,1755899680,15132159
,relay,,32900204,,,,,,,,1755899680,15132159
,relay,,32900204,,,,,,,,1755899680,15132159
,relay,,32900204,,,,,,,,1755899680,72900000
,relay,,32900204,,,,,,,,1755899681,72900000
,relay,,32900204,,,,,,,,1755899681,72900000
,relay,,32900204,,,,,,,,1755899681,15080438
,relay,,32900204,,,,,,,,1755899682,15080438
,relay,,32900204,,,,,,,,1755899682,15080438
,relay,,32900204,,,,,,,,1755899682,15080438
,relay,,32900204,,,,,,,,1755899682,15080438
,relay,,32900204,,,,,,,,1755899683,15080438
,relay,,32900206,,,,,,,,1755899687,19451450
,relay,,32900206,,,,,,,,1755899687,19451450
,relay,,32900206,,,,,,,,1755899687,19451450
,relay,,32900206,,,,,,,,1755899687,15089302
,relay,,32900206,,,,,,,,1755899688,15089302
,relay,,32900206,,,,,,,,1755899688,15089302
,relay,,32900206,,,,,,,,1755899688,15089302
,relay,,32900206,,,,,,,,1755899689,15089302
,relay,,32900206,,,,,,,,1755899689,15089302
,relay,,32900206,,,,,,,,1755899689,15327675
,relay,,32900206,,,,,,,,1755899689,15327675
,relay,,32900206,,,,,,,,1755899690,15327675
